scorer,DLC_resnet50_RatFeb2shuffle1_1080000,DLC_resnet50_RatFeb2shuffle1_1080000.1,DLC_resnet50_RatFeb2shuffle1_1080000.2,DLC_resnet50_RatFeb2shuffle1_1080000.3,DLC_resnet50_RatFeb2shuffle1_1080000.4,DLC_resnet50_RatFeb2shuffle1_1080000.5,DLC_resnet50_RatFeb2shuffle1_1080000.6,DLC_resnet50_RatFeb2shuffle1_1080000.7,DLC_resnet50_RatFeb2shuffle1_1080000.8,DLC_resnet50_RatFeb2shuffle1_1080000.9,DLC_resnet50_RatFeb2shuffle1_1080000.10,DLC_resnet50_RatFeb2shuffle1_1080000.11,DLC_resnet50_RatFeb2shuffle1_1080000.12,DLC_resnet50_RatFeb2shuffle1_1080000.13,DLC_resnet50_RatFeb2shuffle1_1080000.14,DLC_resnet50_RatFeb2shuffle1_1080000.15,DLC_resnet50_RatFeb2shuffle1_1080000.16,DLC_resnet50_RatFeb2shuffle1_1080000.17,DLC_resnet50_RatFeb2shuffle1_1080000.18,DLC_resnet50_RatFeb2shuffle1_1080000.19,DLC_resnet50_RatFeb2shuffle1_1080000.20,DLC_resnet50_RatFeb2shuffle1_1080000.21,DLC_resnet50_RatFeb2shuffle1_1080000.22,DLC_resnet50_RatFeb2shuffle1_1080000.23
bodyparts,Nose,Nose,Nose,LeftEye,LeftEye,LeftEye,LeftEar,LeftEar,LeftEar,RightEye,RightEye,RightEye,RightEar,RightEar,RightEar,HP_post,HP_post,HP_post,CameraBrace-joint,CameraBrace-joint,CameraBrace-joint,CameraBrace-top,CameraBrace-top,CameraBrace-top
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,2523.408447,1881.463623,0.939274609,2481.655029,1880.679565,0.391742945,2434.052002,1889.878906,0.20132713,2480.815674,1880.601929,0.993508458,2435.827637,1892.298584,0.998278379,2462.828369,1850.533569,0.982752144,2391.159668,1866.618286,0.98648119,2379.850342,1811.890381,0.990362942
1,2522.053711,1880.28418,0.932959378,2481.640381,1880.713745,0.385771424,2433.69043,1889.770874,0.220147893,2480.78125,1880.60498,0.993352175,2435.534912,1892.20752,0.998040378,2462.803711,1850.470825,0.982571721,2389.906494,1865.313232,0.988550127,2379.631836,1811.896729,0.990389645
2,2520.261719,1881.063721,0.960631728,2478.835449,1881.391235,0.508028984,2518.47876,1890.796265,0.495693892,2478.536133,1880.627075,0.987718463,2434.2146,1892.268188,0.998167992,2459.619873,1849.194702,0.973267734,2388.769531,1866.179688,0.990790009,2377.762207,1812.787354,0.988862336
3,2520.222656,1880.655029,0.968709648,2475.467285,1880.438599,0.492377847,2517.530762,1889.181152,0.313001871,2475.491455,1879.635864,0.965260863,2431.671631,1892.010376,0.994732499,2457.488037,1850.360962,0.98834002,2386.25,1865.615845,0.988357365,2375.770752,1811.992432,0.992098093
4,2520.10498,1878.612061,0.980844378,2474.280029,1879.62561,0.521263063,2516.238281,1885.649902,0.41983521,2475.214844,1878.100342,0.965211213,2429.986816,1890.305664,0.991703987,2457.490479,1848.97937,0.985989451,2387.052246,1862.932007,0.995570123,2376.376465,1810.264038,0.989669383
5,2519.72583,1880.310303,0.990569115,2476.316406,1879.246704,0.459953994,2518.062988,1889.375977,0.282076687,2476.98877,1877.522949,0.975943685,2430.123291,1888.954468,0.991278589,2460.34668,1848.544312,0.981165946,2387.808838,1860.670898,0.995981216,2378.756836,1808.00061,0.981675804
6,2520.69751,1886.198486,0.945051074,2477.795654,1879.716187,0.438842416,2517.572266,1892.12561,0.549250305,2477.85083,1879.109863,0.981943309,2431.518066,1889.340454,0.996276915,2461.791016,1848.279175,0.970782936,2390.121094,1861.001343,0.996609211,2383.146973,1806.07959,0.977759361
7,2523.736572,1882.705933,0.943985045,2477.345947,1880.394043,0.367338926,2429.52832,1887.556641,0.156851679,2477.734375,1879.720337,0.98722899,2431.444092,1890.13623,0.997384965,2460.67749,1849.052612,0.966060996,2389.596191,1866.770752,0.994854033,2380.716797,1813.491089,0.984094679
8,2519.123779,1876.491455,0.994453251,2476.862061,1880.592041,0.377579182,2515.816406,1883.282227,0.181777984,2477.138184,1879.728516,0.983243048,2431.758789,1893.780762,0.996829212,2457.669922,1853.18689,0.973034561,2391.628906,1878.559082,0.994571388,2376.573975,1823.793457,0.983228207
9,2521.120361,1881.417114,0.963786185,2480.841797,1882.725952,0.285687178,2431.237549,1896.569336,0.1489999,2481.734375,1882.780029,0.995314479,2434.076904,1897.341431,0.99402529,2457.501221,1856.331421,0.977862954,2390.986816,1883.589111,0.993648708,2374.623535,1830.060791,0.993489623
10,2523.152588,1880.925903,0.882719696,2482.070068,1884.297607,0.346034795,2431.609619,1897.412109,0.159963652,2483.015869,1884.136597,0.994872153,2434.371582,1897.967163,0.993385851,2457.699463,1856.887573,0.978882372,2390.636963,1884.285767,0.994449615,2373.565186,1830.884521,0.994351864
11,2523.611572,1881.38623,0.944694042,2481.434082,1884.062988,0.319135159,2432.388916,1898.246826,0.184853852,2482.2854,1883.883423,0.993970394,2435.15332,1898.866821,0.994020343,2457.286621,1857.553833,0.980617464,2388.625732,1885.304321,0.996688187,2371.82959,1831.95105,0.995904505
12,2525.975098,1878.264282,0.964428842,2480.400879,1883.752197,0.317308605,2431.862305,1900.876831,0.329254359,2480.987305,1883.303711,0.994310379,2435.022461,1901.614624,0.990577102,2454.792236,1860.139771,0.992874384,2387.26123,1887.922852,0.995439708,2369.263184,1834.977783,0.984607875
13,2521.859619,1876.110474,0.966784,2479.842041,1884.181641,0.346195042,2431.343018,1902.24707,0.330205262,2480.219238,1883.652222,0.99170059,2434.739258,1902.913696,0.99151963,2454.418457,1860.950684,0.995308697,2386.186768,1889.170288,0.995685577,2368.170166,1837.833496,0.976996005
14,2523.403809,1878.455811,0.980692804,2481.791504,1884.931396,0.364454925,2432.749512,1901.634888,0.339857072,2482.229004,1884.556641,0.991651952,2436.277832,1902.411743,0.99037981,2456.594482,1860.768311,0.990392983,2387.064941,1887.787598,0.995125234,2370.224121,1836.20105,0.985323966
15,2523.978027,1878.426636,0.981005132,2481.909668,1885.233643,0.373048753,2433.854736,1900.762817,0.277410239,2482.173828,1884.736328,0.990251184,2437.105225,1902.053955,0.991527379,2456.907959,1859.23938,0.989079654,2386.362305,1886.110962,0.994336188,2370.739746,1833.825073,0.992374837
16,2523.922607,1879.275269,0.969278276,2481.150879,1883.975952,0.323133975,2519.15332,1890.19873,0.31628257,2481.875488,1883.885132,0.993618131,2436.406006,1901.03064,0.992860019,2457.141357,1859.045654,0.986527979,2387.13208,1885.015869,0.995910883,2370.711426,1833.28418,0.994259953
17,2522.957764,1878.95874,0.977298439,2480.442871,1883.423462,0.32309559,2433.540527,1900.594116,0.306802422,2481.102539,1883.383423,0.993552804,2436.588135,1902.049805,0.992015362,2456.659424,1859.650635,0.989678741,2387.358154,1885.172852,0.995470047,2370.362793,1833.980591,0.991150916
18,2524.123779,1878.776245,0.969527185,2480.698975,1883.501709,0.295631588,2433.204346,1899.94519,0.262621194,2481.090332,1883.124023,0.995070934,2435.743164,1900.811646,0.993535161,2457.17627,1858.858398,0.98304522,2387.890625,1884.643188,0.995554268,2370.603271,1833.470459,0.994065285
19,2522.227539,1880.891968,0.930616617,2481.117676,1883.612427,0.338162333,2518.703613,1891.083496,0.392348617,2481.781494,1883.484863,0.993932307,2435.956787,1899.331787,0.99424547,2457.497314,1857.474854,0.984068692,2389.252686,1882.470947,0.995463312,2372.180664,1831.11145,0.996538401
20,2522.464355,1882.634766,0.799185991,2481.635986,1884.002686,0.369705498,2433.136475,1896.946533,0.174224764,2482.260254,1883.744263,0.994564056,2435.520752,1897.128784,0.992895424,2458.926025,1855.618408,0.95731765,2389.299561,1879.699829,0.997754395,2374.423584,1825.722534,0.993564188
21,2523.10376,1884.576904,0.864380419,2481.398438,1883.452515,0.316036969,2520.019043,1892.529907,0.526441634,2481.84082,1883.492432,0.993856251,2434.776123,1897.76416,0.994599462,2459.38916,1855.233887,0.956792355,2389.195068,1878.476685,0.998380184,2374.881348,1824.633545,0.992918432
22,2524.020996,1881.107788,0.940662801,2480.783691,1883.196777,0.328502238,2519.408936,1890.720215,0.359161556,2481.185303,1882.991577,0.994022071,2435.12793,1897.225098,0.992779076,2458.501953,1855.208374,0.966178596,2389.092529,1880.067383,0.997415543,2372.93335,1827.413208,0.996619821
23,2522.94458,1877.817627,0.980708063,2480.555664,1882.807739,0.305037051,2432.557617,1897.728027,0.189020574,2480.77002,1882.474121,0.99558419,2434.906982,1898.406738,0.99174422,2458.011719,1855.780273,0.965249717,2389.476563,1882.752075,0.994619131,2371.317871,1830.812256,0.997050762
24,2525.28418,1877.933472,0.982667506,2482.224365,1882.864624,0.393396735,2520.586182,1888.425537,0.250601888,2482.673584,1882.934814,0.993172348,2436.240967,1898.373169,0.9954561,2458.630615,1856.494995,0.955543756,2391.412354,1883.43689,0.991918027,2372.61499,1830.743774,0.996098399
25,2525.204834,1877.854004,0.989009678,2482.299072,1882.533569,0.366483748,2433.836914,1895.614746,0.113097936,2482.762695,1882.491089,0.994817913,2435.792969,1897.777344,0.994853199,2459.883789,1855.529175,0.94665736,2390.613281,1881.100342,0.99186784,2373.153076,1829.438965,0.995761812
26,2524.398926,1877.849121,0.987912238,2482.391113,1882.635986,0.357744217,2521.338623,1889.703979,0.185442686,2482.981201,1882.571167,0.993991792,2435.637939,1897.207031,0.996666729,2460.200928,1855.733154,0.936610103,2390.573242,1880.987183,0.993793845,2373.312012,1828.362305,0.995631576
27,2523.81958,1878.397217,0.981286049,2482.074463,1882.885498,0.373754978,2520.48584,1889.678833,0.245211437,2482.723145,1882.782959,0.992726326,2435.637207,1897.752075,0.99471271,2459.759766,1855.564575,0.936726093,2391.880615,1881.731201,0.988112152,2372.693604,1828.811279,0.995827973
28,2524.552002,1877.94397,0.948912561,2480.425781,1882.225708,0.309599519,2432.151611,1896.94397,0.133860692,2480.823975,1882.186768,0.994110286,2434.648926,1897.511841,0.993534327,2458.618652,1856.527832,0.928339779,2392.266602,1883.299438,0.985348642,2371.103271,1830.096802,0.996281564
29,2524.557617,1877.478027,0.960751534,2480.857178,1881.148804,0.303726524,2499.814209,1988.593872,0.136439607,2480.34668,1881.847778,0.994029164,2433.861328,1897.793945,0.99385494,2458.899658,1855.857544,0.90817076,2391.175293,1880.592773,0.989992917,2371.732178,1827.738403,0.995498061
30,2524.789307,1878.825562,0.982242942,2481.981689,1882.156494,0.304104894,2520.085449,1889.634888,0.216697767,2482.354736,1882.296021,0.994808137,2435.417969,1896.630859,0.996600986,2459.952881,1855.757935,0.91372472,2392.031006,1879.375,0.987670302,2373.996582,1826.049438,0.993566453
31,2523.941895,1878.725342,0.987705112,2482.5896,1882.772827,0.338758439,2520.349609,1890.063232,0.191998482,2483.205811,1882.758667,0.994449258,2435.727539,1897.048096,0.996694565,2460.731934,1855.671875,0.918589175,2390.949219,1880.033569,0.99331665,2374.305664,1826.693359,0.993593514
32,2522.572266,1882.921997,0.906819284,2481.40625,1882.508301,0.344906241,2519.682373,1892.701294,0.487676084,2481.80835,1882.609375,0.993406534,2434.901123,1898.168335,0.994030774,2459.955078,1855.528931,0.931908309,2388.681152,1879.318115,0.99733007,2373.189941,1826.816528,0.995330572
33,2523.399414,1881.062866,0.929820001,2480.528564,1882.556152,0.30891344,2518.844971,1890.820068,0.2515589,2480.935791,1882.462524,0.995877862,2434.826172,1897.674316,0.995205045,2458.467529,1856.074707,0.970382214,2386.916504,1879.537476,0.99794215,2372.136963,1825.95459,0.995115876
34,2525.041504,1877.135742,0.943451583,2480.000244,1883.060913,0.316558778,2491.287354,1982.042358,0.229811907,2480.223877,1882.455566,0.995075166,2433.889648,1897.516846,0.989907742,2456.431641,1856.484497,0.972801328,2384.652832,1878.475464,0.996469736,2369.854004,1826.603516,0.995145857
35,2525.521729,1875.218384,0.971656978,2479.63623,1883.352417,0.342931449,2431.479004,1899.068115,0.27541104,2479.827637,1882.833252,0.995293677,2433.709473,1899.437622,0.98762393,2455.637207,1858.359131,0.973556876,2384.625732,1882.244385,0.992152393,2367.381592,1829.026001,0.993970156
36,2524.118408,1878.203735,0.979249775,2480.875488,1884.404785,0.271665633,2431.897949,1899.543945,0.221943393,2481.110596,1883.88562,0.995384395,2433.924316,1900.287109,0.990682125,2455.777344,1859.223389,0.966243267,2385.489502,1883.176147,0.994554043,2368.456055,1828.774536,0.994608521
37,2524.856934,1878.964111,0.964534223,2483.079102,1885.343872,0.278823286,2433.076904,1898.001831,0.213033602,2483.480957,1886.596069,0.995332539,2435.41626,1898.724609,0.995677173,2456.470459,1859.380005,0.970663071,2385.417969,1879.765625,0.996168435,2371.876465,1826.364014,0.994957864
38,2524.525879,1879.783936,0.974329412,2483.063477,1884.970703,0.25960499,2433.135742,1897.579956,0.220525891,2483.72998,1885.024414,0.99579829,2435.489746,1898.186035,0.995546222,2457.016846,1859.2323,0.977551043,2384.825928,1877.929932,0.997197628,2373.11084,1824.970581,0.994832039
39,2524.550049,1879.287231,0.957319856,2482.874756,1885.17627,0.274731994,2432.92627,1897.630615,0.319625914,2483.521729,1885.287476,0.995845854,2435.450195,1897.978638,0.994883597,2457.264404,1859.133789,0.98130703,2384.378174,1876.666992,0.997249305,2373.486328,1824.361328,0.99347645
